k;alpha;averageAccurracy;averagePrecision;averageRecall;averageF1
1;1;0.951814;0.903659;0.0121951;0.0742794
1;1;0.951814;0.903659;0.0121951;0.0742794
4;1;0.952409;0.879484;0.0243902;0.098916
7;1;0.951814;0.878674;0.0121951;0.0981559
10;1;0.951814;0.878509;0.0121951;0.0980044
13;1;0.951814;0.878591;0.0121951;0.0980799
16;1;0.95122;0.878049;0;0.121951
19;1;0.95122;0.902439;0;0.097561
22;1;0.95122;0.902439;0;0.097561
25;1;0.95122;0.902439;0;0.097561
28;1;0.95122;0.878049;0;0.121951
31;1;0.95122;0.878049;0;0.121951
34;1;0.95122;0.853659;0;0.146341
37;1;0.95122;0.878049;0;0.121951
1;6;0.95122;0.95122;0;0.0487805
4;6;0.95122;0.95122;0;0.0487805
7;6;0.95122;0.95122;0;0.0487805
10;6;0.952409;0.976205;0.0243902;0.00058072
13;6;0.952409;0.976205;0.0243902;0.00058072
16;6;0.95122;0.95122;0;0.0487805
19;6;0.95122;0.95122;0;0.0487805
22;6;0.95122;0.95122;0;0.0487805
25;6;0.95122;0.95122;0;0.0487805
28;6;0.95122;0.95122;0;0.0487805
31;6;0.95122;0.95122;0;0.0487805
34;6;0.95122;0.95122;0;0.0487805
37;6;0.95122;0.95122;0;0.0487805
1;11;0.95122;0.95122;0;0.0487805
4;11;0.95122;0.95122;0;0.0487805
7;11;0.95122;0.95122;0;0.0487805
10;11;0.952409;0.976205;0.0243902;0.00058072
13;11;0.952409;0.976205;0.0243902;0.00058072
16;11;0.95122;0.95122;0;0.0487805
19;11;0.95122;0.95122;0;0.0487805
22;11;0.95122;0.95122;0;0.0487805
25;11;0.95122;0.95122;0;0.0487805
28;11;0.95122;0.95122;0;0.0487805
31;11;0.95122;0.95122;0;0.0487805
34;11;0.95122;0.95122;0;0.0487805
37;11;0.95122;0.95122;0;0.0487805
1;16;0.95122;0.95122;0;0.0487805
4;16;0.951814;0.951589;0.0121951;0.0247489
7;16;0.95122;0.95122;0;0.0487805
10;16;0.952409;0.976205;0.0243902;0.00058072
13;16;0.952409;0.976205;0.0243902;0.00058072
16;16;0.95122;0.95122;0;0.0487805
19;16;0.95122;0.95122;0;0.0487805
22;16;0.95122;0.95122;0;0.0487805
25;16;0.95122;0.95122;0;0.0487805
28;16;0.95122;0.95122;0;0.0487805
31;16;0.95122;0.95122;0;0.0487805
34;16;0.95122;0.95122;0;0.0487805
37;16;0.95122;0.95122;0;0.0487805
1;21;0.95122;0.95122;0;0.0487805
4;21;0.951814;0.951584;0.0121951;0.0247437
7;21;0.951814;0.951521;0.0121951;0.0246841
10;21;0.952409;0.976205;0.0243902;0.00058072
13;21;0.952409;0.976205;0.0243902;0.00058072
16;21;0.951814;0.951521;0.0121951;0.0246841
19;21;0.95122;0.95122;0;0.0487805
22;21;0.95122;0.95122;0;0.0487805
25;21;0.95122;0.95122;0;0.0487805
28;21;0.95122;0.95122;0;0.0487805
31;21;0.95122;0.95122;0;0.0487805
34;21;0.95122;0.95122;0;0.0487805
37;21;0.95122;0.95122;0;0.0487805
1;26;0.95122;0.95122;0;0.0487805
4;26;0.951814;0.951584;0.0121951;0.0247437
7;26;0.951814;0.951521;0.0121951;0.0246841
10;26;0.952409;0.976205;0.0243902;0.00058072
13;26;0.952409;0.976205;0.0243902;0.00058072
16;26;0.951814;0.951521;0.0121951;0.0246841
19;26;0.95122;0.95122;0;0.0487805
22;26;0.95122;0.95122;0;0.0487805
25;26;0.95122;0.95122;0;0.0487805
28;26;0.95122;0.95122;0;0.0487805
31;26;0.95122;0.95122;0;0.0487805
34;26;0.95122;0.95122;0;0.0487805
37;26;0.95122;0.95122;0;0.0487805
1;31;0.95122;0.95122;0;0.0487805
4;31;0.951814;0.951584;0.0121951;0.0247437
7;31;0.951814;0.951521;0.0121951;0.0246841
10;31;0.952409;0.976205;0.0243902;0.00058072
13;31;0.952409;0.976205;0.0243902;0.00058072
16;31;0.951814;0.951521;0.0121951;0.0246841
19;31;0.95122;0.95122;0;0.0487805
22;31;0.95122;0.95122;0;0.0487805
25;31;0.95122;0.95122;0;0.0487805
28;31;0.95122;0.95122;0;0.0487805
31;31;0.95122;0.95122;0;0.0487805
34;31;0.95122;0.95122;0;0.0487805
37;31;0.95122;0.95122;0;0.0487805
