k;alpha;averageAccurracy;averagePrecision;averageRecall;averageF1
1;15;0.99881;0.98374;0.97561;0.973984
4;15;0.99762;0.96748;0.95122;0.947967
7;15;0.994646;0.930894;0.890244;0.868293
10;15;0.990482;0.881301;0.804878;0.792102
13;15;0.989887;0.88374;0.792683;0.75784
16;15;0.987507;0.852846;0.743902;0.709175
19;15;0.986913;0.856562;0.731707;0.669377
22;15;0.986318;0.862253;0.719512;0.654859
25;15;0.987507;0.848432;0.743902;0.719783
28;15;0.986318;0.854472;0.719512;0.655633
31;15;0.985723;0.834146;0.707317;0.665389
34;15;0.983938;0.802846;0.670732;0.637805
37;15;0.983938;0.806911;0.670732;0.647561
