k;alpha;averageAccurracy;averagePrecision;averageRecall;averageF1
1;1;0.954789;0.171545;0.0731707;0.760801
4;1;0.955979;0.229268;0.097561;0.669977
7;1;0.957763;0.277468;0.134146;0.63854
10;1;0.954789;0.265679;0.0731707;0.661653
13;1;0.955384;0.368118;0.0853659;0.543186
16;1;0.957168;0.403659;0.121951;0.478978
19;1;0.955979;0.367712;0.097561;0.544261
22;1;0.957763;0.449187;0.134146;0.436382
25;1;0.955979;0.403117;0.097561;0.520307
28;1;0.955384;0.449797;0.0853659;0.463473
31;1;0.956573;0.48072;0.109756;0.426955
34;1;0.955979;0.46084;0.097561;0.444523
37;1;0.955979;0.482927;0.097561;0.450232
1;6;0.990482;0.849187;0.804878;0.440708
4;6;0.989887;0.857724;0.792683;0.382114
7;6;0.986913;0.79187;0.731707;0.417189
10;6;0.985128;0.769919;0.695122;0.403717
13;6;0.983343;0.760163;0.658537;0.376016
16;6;0.979774;0.710569;0.585366;0.38101
19;6;0.979179;0.733798;0.573171;0.332772
22;6;0.979774;0.717073;0.585366;0.386237
25;6;0.979179;0.689082;0.573171;0.402284
28;6;0.978584;0.678513;0.560976;0.399497
31;6;0.979179;0.716667;0.573171;0.379791
34;6;0.979179;0.697967;0.573171;0.37619
37;6;0.979774;0.712602;0.585366;0.383043
1;11;0.998215;0.97561;0.963415;0.480488
4;11;0.995241;0.934959;0.902439;0.443902
7;11;0.991077;0.861789;0.817073;0.421138
10;11;0.988697;0.817073;0.768293;0.423984
13;11;0.986318;0.780488;0.719512;0.392683
16;11;0.985128;0.772358;0.695122;0.37561
19;11;0.982748;0.741057;0.646341;0.402149
22;11;0.980369;0.677642;0.597561;0.423345
25;11;0.980369;0.710976;0.597561;0.372009
28;11;0.979774;0.717073;0.585366;0.38705
31;11;0.982153;0.754878;0.634146;0.38554
34;11;0.982153;0.720325;0.634146;0.413182
37;11;0.983343;0.79187;0.658537;0.34971
1;16;0.997026;0.969106;0.939024;0.465505
4;16;0.995241;0.930894;0.902439;0.445528
7;16;0.992267;0.890244;0.841463;0.414228
10;16;0.988697;0.788618;0.768293;0.45122
13;16;0.986913;0.772358;0.731707;0.42439
16;16;0.984533;0.735772;0.682927;0.395935
19;16;0.982153;0.711382;0.634146;0.370732
22;16;0.981559;0.734959;0.621951;0.363124
25;16;0.981559;0.721138;0.621951;0.36144
28;16;0.980964;0.723577;0.609756;0.379675
31;16;0.982153;0.726829;0.634146;0.394425
34;16;0.982748;0.782927;0.646341;0.320557
37;16;0.981559;0.755285;0.621951;0.33101
1;21;0.996431;0.960976;0.926829;0.459001
4;21;0.994646;0.928455;0.890244;0.436237
7;21;0.994646;0.922764;0.890244;0.439024
10;21;0.991672;0.878049;0.829268;0.400407
13;21;0.988102;0.831301;0.756098;0.382927
16;21;0.983938;0.773577;0.670732;0.342799
19;21;0.982748;0.751626;0.646341;0.350871
22;21;0.980369;0.710976;0.597561;0.378513
25;21;0.980369;0.728107;0.597561;0.348161
28;21;0.979179;0.749187;0.573171;0.304181
31;21;0.983343;0.80331;0.658537;0.331901
34;21;0.982748;0.780952;0.646341;0.320112
37;21;0.984533;0.790244;0.682927;0.363473
1;26;0.997026;0.963415;0.939024;0.468293
4;26;0.995241;0.926829;0.902439;0.444715
7;26;0.993456;0.898374;0.865854;0.426829
10;26;0.989292;0.841463;0.780488;0.402846
13;26;0.988102;0.829268;0.756098;0.383333
16;26;0.986318;0.824797;0.719512;0.340708
19;26;0.982748;0.747154;0.646341;0.354588
22;26;0.983343;0.765041;0.658537;0.336353
25;26;0.981559;0.744715;0.621951;0.334321
28;26;0.980964;0.730894;0.609756;0.351742
31;26;0.983343;0.773171;0.658537;0.352207
34;26;0.985723;0.8;0.707317;0.377352
37;26;0.985128;0.787805;0.695122;0.371661
1;31;0.997026;0.963415;0.939024;0.468293
4;31;0.995836;0.943089;0.914634;0.451626
7;31;0.992861;0.890244;0.853659;0.420325
10;31;0.990482;0.865854;0.804878;0.392683
13;31;0.987507;0.821138;0.743902;0.376829
16;31;0.983343;0.756911;0.658537;0.383914
19;31;0.983938;0.782114;0.670732;0.338676
22;31;0.982153;0.771951;0.634146;0.319977
25;31;0.983938;0.789431;0.670732;0.333508
28;31;0.982748;0.75122;0.646341;0.367596
31;31;0.983938;0.781301;0.670732;0.353426
34;31;0.983938;0.773984;0.670732;0.361034
37;31;0.983938;0.794309;0.670732;0.334611
