mode;k;alpha;Training Time;Evaluation Time
1;10;21;0.795917;0.00170038
1;10;41;1.98346;0.00213646
1;10;61;3.58307;0.00325867
1;10;81;5.33135;0.0032109
1;10;101;7.19697;0.00380483
1;10;121;9.20737;0.00444282
1;10;141;11.1094;0.00526907
1;10;161;13.5187;0.00569403
1;10;181;15.1886;0.00631579
1;10;201;17.1371;0.0069582
1;10;221;19.122;0.0075821
1;10;241;21.1221;0.0081868
1;10;261;23.0291;0.0087914
1;10;281;24.8807;0.00950016
1;10;301;26.5554;0.0100524
1;10;321;27.7932;0.011206
1;10;341;29.7852;0.0112799
1;10;361;32.8457;0.0122089
1;10;381;36.2819;0.012518
1;10;401;37.4439;0.0131426
1;10;421;40.9963;0.0138065
1;10;441;42.3994;0.0148015
1;10;461;44.7721;0.0150084
1;10;481;47.4706;0.0165386
1;10;501;50.5931;0.0162452
1;10;521;54.5801;0.0169067
1;10;541;56.5287;0.0175324
1;10;561;58.6603;0.0186353
1;10;581;60.2392;0.0187608
1;10;601;64.1373;0.0193525
1;10;621;65.5999;0.0200227
1;10;641;67.5053;0.0206239
